"","County","State","Pop2019","NumAbortions","PercentFemale","MedianIncome","PopFemale","abortionRate","abortPer1000","highlyRestrictive","PctDem","White","Hispanic","Black","Native","Asian","Pacific","Lon","Lat","distClinic","distMiles"
"68","Baylor County","Texas",3509,3,0.513,41539,1800.117,0.00166655834037454,1.66655834037454,1,0.11,83.8,10.1,3.2,0,0,0,-99.2135,33.6165,487,41.5252365974914
"69","Beaufort County","North Carolina",46994,70,0.522,49410,24530.868,0.00285354762008421,2.85354762008421,0,0.37,65.8,7.6,25.6,0,0.1,0,-76.8598,35.494,351,68.1504955010645
"70","Beaufort County","South Carolina",192122,367,0.51,73890,97982.22,0.00374557751396121,3.74557751396121,1,0.44,67.4,11.3,18.1,0.2,1.2,0.1,-80.7302,32.3855,57,37.5800934160369
"71","Beaver County","Oklahoma",5311,0,0.495,55397,2628.945,0,0,0,0.09,76.4,22.1,0.1,0.6,0,0,-100.4768,36.7496,358,68.9579670643176
"72","Beaver County","Pennsylvania",163929,228,0.514,60323,84259.506,0.00270592614203079,2.70592614203079,1,0.41,89.7,1.5,5.9,0,0.5,0,-80.3493,40.6823,12,67.4921844506326
"73","Beaver County","Utah",6710,3,0.489,58309,3281.19,0.000914302432958774,0.914302432958774,1,0.12,88.7,10.9,0,0.1,0.2,0,-113.2355,38.357,419,35.5376271687938
"74","Beckham County","Oklahoma",21859,8,0.463,50512,10120.717,0.000790457830211041,0.790457830211041,0,0.13,75.7,14.2,3.3,1.4,0.9,0.1,-99.682,35.2687,358,68.9579670643176
"75","Bedford County","Pennsylvania",47888,23,0.502,54251,24039.776,0.00095674768350587,0.956747683505869,1,0.16,96.9,1.1,0.4,0.1,0.2,0,-78.4903,40.0065,510,59.7557528611263
"76","Bee County","Texas",32565,46,0.392,44171,12765.48,0.00360346810304039,3.60346810304039,1,0.35,32.2,58.2,8.2,0.5,0.5,0,-97.7412,28.4174,35,56.5214910559404
"77","Bell County","Texas",362924,790,0.503,54831,182550.772,0.00432756318335372,4.32756318335372,1,0.45,47.2,24,21,0.3,2.8,0.7,-97.4782,31.0377,492,46.1700118387612
